store_id,mean_daily_demand,std_daily_demand,variance_daily_demand,p90_daily_demand,p95_daily_demand,p99_daily_demand,coefficient_of_variation
1,29711.253351503758,5255.513309107013,27620420.142200943,36141.761600000005,37832.81885,48632.5605299998,0.1768862877284515
2,6355.192285714286,1018.3558819493936,1037048.7023009273,7506.4196,7762.6311,8436.655159999993,0.16023997955790198
3,5832.890242481203,1617.8750216804015,2617519.5857773595,7435.8229,7649.8254,8049.296049999996,0.2773710723883238
4,29132.823483333334,11073.336035740247,122618770.96042351,41508.789500000006,51477.1511,60837.19266999993,0.3800982778780511
