store_id,model,configuration,season_length,order,lead_time_days,service_level,z_value,mean_daily_demand,std_daily_demand,expected_lead_time_demand,safety_stock,reorder_point
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.95,1.6448536269514722,5832.890242481203,1617.8750216804015,40830.23169736842,7040.787659691585,47871.01935706001
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,7,0.99,2.3263478740408408,5832.890242481203,1617.8750216804015,40830.23169736842,9957.920349455959,50788.15204682438
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.9,1.2815515655446004,5832.890242481203,1617.8750216804015,81660.46339473684,7757.916007774247,89418.37940251108
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.95,1.6448536269514722,5832.890242481203,1617.8750216804015,81660.46339473684,9957.177398124963,91617.6407928618
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,14,0.99,2.3263478740408408,5832.890242481203,1617.8750216804015,81660.46339473684,14082.626011231645,95743.0894059685
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.9,1.2815515655446004,5832.890242481203,1617.8750216804015,163320.92678947368,10971.350033945679,174292.27682341935
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.95,1.6448536269514722,5832.890242481203,1617.8750216804015,163320.92678947368,14081.57531938317,177402.50210885686
3,feature_gbm,"HistGradientBoostingRegressor(learning_rate=0.1, max_iter=200, max_depth=3, min_samples_leaf=5, l2_regularization=1.0, early_stopping=False, random_state=0)",,,28,0.99,2.3263478740408408,5832.890242481203,1617.8750216804015,163320.92678947368,19915.840698911918,183236.7674883856
4,seasonal_naive,season_length=7,7.0,,7,0.9,1.2815515655446004,29132.823483333334,11073.336035740247,203929.76438333333,37545.99213894346,241475.7565222768
4,seasonal_naive,season_length=7,7.0,,7,0.95,1.6448536269514722,29132.823483333334,11073.336035740247,203929.76438333333,48189.75920097952,252119.52358431285
4,seasonal_naive,season_length=7,7.0,,7,0.99,2.3263478740408408,29132.823483333334,11073.336035740247,203929.76438333333,68155.69606367547,272085.4604470088
4,seasonal_naive,season_length=7,7.0,,14,0.9,1.2815515655446004,29132.823483333334,11073.336035740247,407859.52876666666,53098.05129564745,460957.5800623141
4,seasonal_naive,season_length=7,7.0,,14,0.95,1.6448536269514722,29132.823483333334,11073.336035740247,407859.52876666666,68150.61102951887,476010.13979618554
4,seasonal_naive,season_length=7,7.0,,14,0.99,2.3263478740408408,29132.823483333334,11073.336035740247,407859.52876666666,96386.7097262284,504246.23849289503
4,seasonal_naive,season_length=7,7.0,,28,0.9,1.2815515655446004,29132.823483333334,11073.336035740247,815719.0575333333,75091.98427788692,890811.0418112202
4,seasonal_naive,season_length=7,7.0,,28,0.95,1.6448536269514722,29132.823483333334,11073.336035740247,815719.0575333333,96379.51840195904,912098.5759352923
4,seasonal_naive,season_length=7,7.0,,28,0.99,2.3263478740408408,29132.823483333334,11073.336035740247,815719.0575333333,136311.39212735093,952030.4496606842
